biblioitem,former_leader,suggested_change
1499,02592    a2200421   4500,02592  m a2200421   4500
1500,01589    a2200217   4500,01589  m a2200217   4500
1501,00836    a2200217   4500,00836  m a2200217   4500
1503,01512    a2200241   4500,01512  m a2200241   4500
1508,02767    a2200457   4500,02767  m a2200457   4500
1509,01559    a2200289   4500,01559  m a2200289   4500
1512,01506ada a2200289   4500,01506adm a2200289   4500
1513,01842    a2200313   4500,01842  m a2200313   4500
1514,01599    a2200313   4500,01599  m a2200313   4500
1515,02985    a2200361   4500,02985  m a2200361   4500
1516,01495    a2200301   4500,01495  m a2200301   4500
1517,01809    a2200325   4500,01809  m a2200325   4500
1518,01335    a2200289   4500,01335  m a2200289   4500
1520,01946    a2200373   4500,01946  m a2200373   4500
1521,01570    a2200313   4500,01570  m a2200313   4500
1524,01539    a2200301   4500,01539  m a2200301   4500
1525,01293    a2200277   4500,01293  m a2200277   4500
1534,03419acc a2200361   4500,03419acm a2200361   4500
1535,05230acc a2200457   4500,05230acm a2200457   4500
1536,03547acc a2200373   4500,03547acm a2200373   4500
1543,02548acc a2200349   4500,02548acm a2200349   4500
1544,02388acc a2200349   4500,02388acm a2200349   4500
1548,01687ada a2200301   4500,01687adm a2200301   4500
1550,01252ada a2200265   4500,01252adm a2200265   4500
1558,02096acc a2200289   4500,02096acm a2200289   4500
1562,02029aac a2200265   4500,02029aam a2200265   4500
1569,00900    a2200217   4500,00900  m a2200217   4500
1574,01091aca a2200241   4500,01091acm a2200241   4500
1584,00992    a2200253   4500,00992  m a2200253   4500
1585,00782    a2200217   4500,00782  m a2200217   4500
1586,00692    a2200193   4500,00692  m a2200193   4500
1587,00749    a2200205   4500,00749  m a2200205   4500
1588,00632    a2200193   4500,00632  m a2200193   4500
1589,01436aca a2200265   4500,01436acm a2200265   4500
1590,01492    a2200277   4500,01492  m a2200277   4500
1591,03384aca a2200301   4500,03384acm a2200301   4500
1592,02960    a2200481   4500,02960  m a2200481   4500
1593,01537aca a2200289   4500,01537acm a2200289   4500
1594,01354    a2200265   4500,01354  m a2200265   4500
1595,01482    a2200313   4500,01482  m a2200313   4500
1596,01420aca a2200289   4500,01420acm a2200289   4500
1597,01748aca a2200301   4500,01748acm a2200301   4500
1598,01101aca a2200241   4500,01101acm a2200241   4500
1600,01247aca a2200253   4500,01247acm a2200253   4500
1601,01530aca a2200265   4500,01530acm a2200265   4500
1602,01114aca a2200229   4500,01114acm a2200229   4500
1603,01059aca a2200229   4500,01059acm a2200229   4500
1605,01066aca a2200229   4500,01066acm a2200229   4500
1608,02895aca a2200337   4500,02895acm a2200337   4500
1610,02424aca a2200301   4500,02424acm a2200301   4500
1611,01738aca a2200289   4500,01738acm a2200289   4500
1612,02011aca a2200301   4500,02011acm a2200301   4500
1613,01886aca a2200289   4500,01886acm a2200289   4500
1614,01109aca a2200253   4500,01109acm a2200253   4500
1615,01515aca a2200253   4500,01515acm a2200253   4500
1616,08532    a2200733   4500,08532  m a2200733   4500
1617,04849    a2200553   4500,04849  m a2200553   4500
1618,04086    a2200433   4500,04086  m a2200433   4500
1619,04087    a2200457   4500,04087  m a2200457   4500
1620,03801    a2200397   4500,03801  m a2200397   4500
1621,04170    a2200457   4500,04170  m a2200457   4500
1622,02039    a2200325   4500,02039  m a2200325   4500
1623,10763    a2200877   4500,10763  m a2200877   4500
1624,01667aca a2200277   4500,01667acm a2200277   4500
1625,06043    a2200565   4500,06043  m a2200565   4500
1626,08506    a2200733   4500,08506  m a2200733   4500
1627,01523aca a2200301   4500,01523acm a2200301   4500
1630,01723aca a2200277   4500,01723acm a2200277   4500
1631,01000aca a2200253   4500,01000acm a2200253   4500
1632,00950aca a2200229   4500,00950acm a2200229   4500
1633,00960aca a2200217   4500,00960acm a2200217   4500
1634,01340aca a2200241   4500,01340acm a2200241   4500
1635,01161aca a2200265   4500,01161acm a2200265   4500
1637,03907aca a2200565   4500,03907acm a2200565   4500
1639,01575aca a2200265   4500,01575acm a2200265   4500
1640,01513aca a2200265   4500,01513acm a2200265   4500
1641,01486aca a2200265   4500,01486acm a2200265   4500
1642,01422aca a2200265   4500,01422acm a2200265   4500
1643,01288aca a2200265   4500,01288acm a2200265   4500
1644,01768aca a2200265   4500,01768acm a2200265   4500
1645,01259aca a2200253   4500,01259acm a2200253   4500
1647,00908aca a2200205   4500,00908acm a2200205   4500
1648,01122aca a2200229   4500,01122acm a2200229   4500
1649,01427aca a2200277   4500,01427acm a2200277   4500
1650,01510aca a2200277   4500,01510acm a2200277   4500
1651,01009aca a2200229   4500,01009acm a2200229   4500
1652,01142aca a2200253   4500,01142acm a2200253   4500
1653,00894aca a2200217   4500,00894acm a2200217   4500
1656,01263aca a2200241   4500,01263acm a2200241   4500
1657,01440aca a2200253   4500,01440acm a2200253   4500
1658,01725aca a2200289   4500,01725acm a2200289   4500
1659,00939aca a2200217   4500,00939acm a2200217   4500
1660,00920aca a2200217   4500,00920acm a2200217   4500
1661,00987aca a2200229   4500,00987acm a2200229   4500
1662,01312ada a2200241   4500,01312adm a2200241   4500
1663,01999atc a2200289   4500,01999atm a2200289   4500
1664,00880    a2200205   4500,00880  m a2200205   4500
1671,01000aca a2200241   4500,01000acm a2200241   4500
1672,01073aaa a2200229   4500,01073aam a2200229   4500
1679,00728    a2200205   4500,00728  m a2200205   4500
1680,00721    a2200205   4500,00721  m a2200205   4500
1681,00736    a2200205   4500,00736  m a2200205   4500
1682,00721    a2200205   4500,00721  m a2200205   4500
1683,00700    a2200193   4500,00700  m a2200193   4500
1684,00705    a2200193   4500,00705  m a2200193   4500
1696,01391acc a2200253   4500,01391acm a2200253   4500
1697,01505acc a2200277   4500,01505acm a2200277   4500
1703,03557    a2200433   4500,03557  m a2200433   4500
1704,00974    a2200217   4500,00974  m a2200217   4500
1716,01199acd a2200253   4500,01199acm a2200253   4500
1717,01814aad a2200289   4500,01814aam a2200289   4500
1718,01377aad a2200253   4500,01377aam a2200253   4500
1719,01199aad a2200217   4500,01199aam a2200217   4500
1722,00542    a2200145   4500,00542  m a2200145   4500
1724,02804aac a2200385   4500,02804aam a2200385   4500
1726,04389    a2200469   4500,04389  m a2200469   4500
1727,02747aaa a2200289   4500,02747aam a2200289   4500
1730,01940    a2200421   4500,01940  m a2200421   4500
1731,02987    a2200529   4500,02987  m a2200529   4500
1732,01151aca a2200253   4500,01151acm a2200253   4500
1733,01576aca a2200253   4500,01576acm a2200253   4500
1737,01248aca a2200241   4500,01248acm a2200241   4500
1738,01825aca a2200277   4500,01825acm a2200277   4500
1739,01575aca a2200265   4500,01575acm a2200265   4500
1741,01768aca a2200277   4500,01768acm a2200277   4500
1742,01398aca a2200241   4500,01398acm a2200241   4500
1743,01318aca a2200241   4500,01318acm a2200241   4500
1744,01736aca a2200253   4500,01736acm a2200253   4500
1745,01339aca a2200265   4500,01339acm a2200265   4500
1746,01197aca a2200241   4500,01197acm a2200241   4500
1747,02200    a2200409   4500,02200  m a2200409   4500
1748,01395aca a2200241   4500,01395acm a2200241   4500
1749,01517aca a2200253   4500,01517acm a2200253   4500
1750,01515aca a2200253   4500,01515acm a2200253   4500
1751,01512aca a2200253   4500,01512acm a2200253   4500
1752,01516aca a2200253   4500,01516acm a2200253   4500
1753,01349aca a2200229   4500,01349acm a2200229   4500
1754,01509aca a2200253   4500,01509acm a2200253   4500
1755,04235aca a2200613   4500,04235acm a2200613   4500
1756,04496aac a2200325   4500,04496aam a2200325   4500
1757,02823    a2200361   4500,02823  m a2200361   4500
1758,01454    a2200265   4500,01454  m a2200265   4500
1759,04943    a2200913   4500,04943  m a2200913   4500
1760,01398    a2200277   4500,01398  m a2200277   4500
1761,02997    a2200457   4500,02997  m a2200457   4500
1765,01242aca a2200265   4500,01242acm a2200265   4500
1766,01584aca a2200289   4500,01584acm a2200289   4500
1767,01762aca a2200313   4500,01762acm a2200313   4500
1768,01545aca a2200277   4500,01545acm a2200277   4500
1769,02199aca a2200277   4500,02199acm a2200277   4500
1770,01817aca a2200289   4500,01817acm a2200289   4500
1771,01869    a2200373   4500,01869  m a2200373   4500
1779,01016    a2200205   4500,01016  m a2200205   4500
1786,05009    a2200589   4500,05009  m a2200589   4500
1793,03469    a2200673   4500,03469  m a2200673   4500
1795,02896    a2200577   4500,02896  m a2200577   4500
1796,02439    a2200445   4500,02439  m a2200445   4500
1799,02330    a2200445   4500,02330  m a2200445   4500
1804,01576    a2200277   4500,01576  m a2200277   4500
1811,01536    a2200253   4500,01536  m a2200253   4500
1812,02534    a2200349   4500,02534  m a2200349   4500
1813,01583    a2200277   4500,01583  m a2200277   4500
1814,01121    a2200229   4500,01121  m a2200229   4500
1816,01568    a2200313   4500,01568  m a2200313   4500
1819,01989    a2200349   4500,01989  m a2200349   4500
1820,03335    a2200409   4500,03335  m a2200409   4500
1821,01291acd a2200277   4500,01291acm a2200277   4500
1822,01224acd a2200277   4500,01224acm a2200277   4500
1830,07937    a2201285   4500,07937  m a2201285   4500
1836,02470    a2200457   4500,02470  m a2200457   4500
1839,01855acd a2200289   4500,01855acm a2200289   4500
1840,01802acd a2200277   4500,01802acm a2200277   4500
1841,01676acd a2200253   4500,01676acm a2200253   4500
1842,02126acd a2200313   4500,02126acm a2200313   4500
1843,02562acd a2200337   4500,02562acm a2200337   4500
1844,01879acd a2200289   4500,01879acm a2200289   4500
1845,01730acd a2200265   4500,01730acm a2200265   4500
1846,03019acc a2200325   4500,03019acm a2200325   4500
1851,02149    a2200253   4500,02149  m a2200253   4500
1861,02594aas a2200337   4500,02594aam a2200337   4500
1862,02212acd a2200325   4500,02212acm a2200325   4500
1863,01894acd a2200277   4500,01894acm a2200277   4500
1864,02093acd a2200313   4500,02093acm a2200313   4500
1865,02092acd a2200313   4500,02092acm a2200313   4500
1866,02126acd a2200337   4500,02126acm a2200337   4500
1867,02047acd a2200325   4500,02047acm a2200325   4500
1871,06737    a2201093   4500,06737  m a2201093   4500
1907,02585    a2200325   4500,02585  m a2200325   4500
1910,01719    a2200253   4500,01719  m a2200253   4500
1911,02327    a2200397   4500,02327  m a2200397   4500
1915,01503    a2200301   4500,01503  m a2200301   4500
1917,03838    a2200661   4500,03838  m a2200661   4500
1918,02568    a2200469   4500,02568  m a2200469   4500
1922,01868    a2200301   4500,01868  m a2200301   4500
1923,01327aca a2200241   4500,01327acm a2200241   4500
1925,02709    a2200481   4500,02709  m a2200481   4500
1928,03620    a2200649   4500,03620  m a2200649   4500
1929,02792    a2200529   4500,02792  m a2200529   4500
1942,06344    a2201033   4500,06344  m a2201033   4500
1943,03140    a2200601   4500,03140  m a2200601   4500
1948,01207    a2200253   4500,01207  m a2200253   4500
1953,01788    a2200337   4500,01788  m a2200337   4500
1955,03061    a2200517   4500,03061  m a2200517   4500
1956,04480    a2200721   4500,04480  m a2200721   4500
1957,02561    a2200505   4500,02561  m a2200505   4500
1958,01227    a2200277   4500,01227  m a2200277   4500
1959,02238    a2200457   4500,02238  m a2200457   4500
1960,01289    a2200277   4500,01289  m a2200277   4500
1961,02680    a2200337   4500,02680  m a2200337   4500
1968,01022    a2200229   4500,01022  m a2200229   4500
1969,02091    a2200301   4500,02091  m a2200301   4500
1970,01778    a2200277   4500,01778  m a2200277   4500
1971,01619    a2200265   4500,01619  m a2200265   4500
1972,02105    a2200313   4500,02105  m a2200313   4500
1973,02727    a2200481   4500,02727  m a2200481   4500
1974,06188    a2200625   4500,06188  m a2200625   4500
1975,01885    a2200301   4500,01885  m a2200301   4500
1976,02306    a2200421   4500,02306  m a2200421   4500
1977,01162    a2200217   4500,01162  m a2200217   4500
1980,02294    a2200313   4500,02294  m a2200313   4500
1981,01284    a2200301   4500,01284  m a2200301   4500
1982,01000    a2200217   4500,01000  m a2200217   4500
1983,01214    a2200253   4500,01214  m a2200253   4500
1984,00940    a2200217   4500,00940  m a2200217   4500
1985,02099    a2200337   4500,02099  m a2200337   4500
2000,03084    a2200565   4500,03084  m a2200565   4500
2001,02089    a2200385   4500,02089  m a2200385   4500
2004,01055    a2200265   4500,01055  m a2200265   4500
2005,02488    a2200325   4500,02488  m a2200325   4500
2006,00852    a2200205   4500,00852  m a2200205   4500
2007,04548acb a2200313   4500,04548acm a2200313   4500
2015,02210aac a2200229   4500,02210aam a2200229   4500
2016,01460    a2200253   4500,01460  m a2200253   4500
2020,04864    a2200889   4500,04864  m a2200889   4500
2022,02903    a2200577   4500,02903  m a2200577   4500
2024,02162    a2200397   4500,02162  m a2200397   4500
2025,03003    a2200493   4500,03003  m a2200493   4500
2026,01289aaa a2200229   4500,01289aam a2200229   4500
2029,02308acc a2200325   4500,02308acm a2200325   4500
2032,01498aca a2200301   4500,01498acm a2200301   4500
2033,02606    a2200493   4500,02606  m a2200493   4500
2034,01522aca a2200289   4500,01522acm a2200289   4500
2035,01542aca a2200289   4500,01542acm a2200289   4500
2036,01653aca a2200313   4500,01653acm a2200313   4500
2037,01492aca a2200301   4500,01492acm a2200301   4500
2038,01574aca a2200289   4500,01574acm a2200289   4500
2039,01951    a2200349   4500,01951  m a2200349   4500
2044,01122    a2200265   4500,01122  m a2200265   4500
2049,01723ada a2200325   4500,01723adm a2200325   4500
2065,01706aca a2200253   4500,01706acm a2200253   4500
2066,01100aca a2200229   4500,01100acm a2200229   4500
2102,02644aca a2200289   4500,02644acm a2200289   4500
2110,01716    a2200301   4500,01716  m a2200301   4500
2112,00640    a2200169   4500,00640  m a2200169   4500
2116,01659    a2200289   4500,01659  m a2200289   4500
2119,02195    a2200349   4500,02195  m a2200349   4500
2121,03645    a2200409   4500,03645  m a2200409   4500
2124,03693    a2200625   4500,03693  m a2200625   4500
2127,02729    a2200433   4500,02729  m a2200433   4500
2128,02110    a2200337   4500,02110  m a2200337   4500
2129,03102    a2200457   4500,03102  m a2200457   4500
2132,01318    a2200277   4500,01318  m a2200277   4500
2143,03373    a2200553   4500,03373  m a2200553   4500
2159,02790    a2200349   4500,02790  m a2200349   4500
2161,03118    a2200493   4500,03118  m a2200493   4500
2162,01492    a2200265   4500,01492  m a2200265   4500
2163,02054    a2200289   4500,02054  m a2200289   4500
2164,02671    a2200361   4500,02671  m a2200361   4500
2165,02343    a2200313   4500,02343  m a2200313   4500
2166,01897    a2200337   4500,01897  m a2200337   4500
2171,07886    a2201357   4500,07886  m a2201357   4500
2174,02643    a2200397   4500,02643  m a2200397   4500
2181,08078aac a2200553   4500,08078aam a2200553   4500
2182,03391    a2200565   4500,03391  m a2200565   4500
2192,01815    a2200325   4500,01815  m a2200325   4500
2193,01624    a2200337   4500,01624  m a2200337   4500
2194,02231    a2200361   4500,02231  m a2200361   4500
2195,01707    a2200349   4500,01707  m a2200349   4500
2197,03034    a2200385   4500,03034  m a2200385   4500
2211,01900ada a2200301   4500,01900adm a2200301   4500
2212,02453    a2200481   4500,02453  m a2200481   4500
2224,02348    a2200361   4500,02348  m a2200361   4500
2233,02974    a2200541   4500,02974  m a2200541   4500
2234,01729    a2200313   4500,01729  m a2200313   4500
2235,01804    a2200337   4500,01804  m a2200337   4500
2255,01996    a2200325   4500,01996  m a2200325   4500
2256,01573    a2200277   4500,01573  m a2200277   4500
2257,01801    a2200289   4500,01801  m a2200289   4500
2258,01772    a2200301   4500,01772  m a2200301   4500
2259,01509    a2200265   4500,01509  m a2200265   4500
2260,01780    a2200289   4500,01780  m a2200289   4500
2261,01610    a2200277   4500,01610  m a2200277   4500
2263,01830    a2200277   4500,01830  m a2200277   4500
2264,01506    a2200265   4500,01506  m a2200265   4500
2265,01317    a2200229   4500,01317  m a2200229   4500
2266,06839    a2200781   4500,06839  m a2200781   4500
2269,01680    a2200325   4500,01680  m a2200325   4500
2271,01317    a2200277   4500,01317  m a2200277   4500
2285,03033    a2200589   4500,03033  m a2200589   4500
2289,02123    a2200397   4500,02123  m a2200397   4500
2295,01369    a2200313   4500,01369  m a2200313   4500
2298,01376    a2200265   4500,01376  m a2200265   4500
2299,01296    a2200253   4500,01296  m a2200253   4500
2301,04860    a2200865   4500,04860  m a2200865   4500
2302,01586    a2200277   4500,01586  m a2200277   4500
2303,01148    a2200277   4500,01148  m a2200277   4500
2304,01287    a2200265   4500,01287  m a2200265   4500
2305,01031    a2200241   4500,01031  m a2200241   4500
2306,01002    a2200241   4500,01002  m a2200241   4500
2307,01281    a2200265   4500,01281  m a2200265   4500
2309,01037    a2200253   4500,01037  m a2200253   4500
2310,01061    a2200253   4500,01061  m a2200253   4500
2311,01239    a2200277   4500,01239  m a2200277   4500
2313,01420    a2200289   4500,01420  m a2200289   4500
2316,01215    a2200229   4500,01215  m a2200229   4500
2317,00874    a2200217   4500,00874  m a2200217   4500
2320,02628    a2200445   4500,02628  m a2200445   4500
2321,05792    a2200541   4500,05792  m a2200541   4500
2322,05303    a2201009   4500,05303  m a2201009   4500
2324,01523    a2200277   4500,01523  m a2200277   4500
2325,11165    a2201477   4500,11165  m a2201477   4500
2326,06581    a2200937   4500,06581  m a2200937   4500
2327,04622    a2200745   4500,04622  m a2200745   4500
2328,01404    a2200265   4500,01404  m a2200265   4500
2329,01733    a2200289   4500,01733  m a2200289   4500
2330,01380    a2200301   4500,01380  m a2200301   4500
2331,06321    a2201045   4500,06321  m a2201045   4500
2332,01224    a2200265   4500,01224  m a2200265   4500
2333,01073    a2200241   4500,01073  m a2200241   4500
2334,01562    a2200265   4500,01562  m a2200265   4500
2336,01491    a2200277   4500,01491  m a2200277   4500
2339,02647    a2200481   4500,02647  m a2200481   4500
2340,11006    a2200973   4500,11006  m a2200973   4500
2341,01924    a2200253   4500,01924  m a2200253   4500
2342,01975    a2200265   4500,01975  m a2200265   4500
2343,00549    a2200157   4500,00549  m a2200157   4500
2344,01068    a2200241   4500,01068  m a2200241   4500
2345,01021    a2200241   4500,01021  m a2200241   4500
2346,01849    a2200325   4500,01849  m a2200325   4500
2347,01550    a2200265   4500,01550  m a2200265   4500
2348,00758    a2200181   4500,00758  m a2200181   4500
2349,02539    a2200505   4500,02539  m a2200505   4500
2351,01146    a2200253   4500,01146  m a2200253   4500
2352,01197ata a2200253   4500,01197atm a2200253   4500
2358,05586    a2200529   4500,05586  m a2200529   4500
2359,03617    a2200445   4500,03617  m a2200445   4500
2360,01323    a2200265   4500,01323  m a2200265   4500
2361,01497    a2200277   4500,01497  m a2200277   4500
2362,01166    a2200229   4500,01166  m a2200229   4500
2363,10691    a2200913   4500,10691  m a2200913   4500
2364,02621    a2200361   4500,02621  m a2200361   4500
2365,01773    a2200301   4500,01773  m a2200301   4500
2372,01814    a2200289   4500,01814  m a2200289   4500
2375,02588    a2200385   4500,02588  m a2200385   4500
2376,02217    a2200325   4500,02217  m a2200325   4500
2379,02687    a2200349   4500,02687  m a2200349   4500
2381,01662    a2200337   4500,01662  m a2200337   4500
2387,01986    a2200265   4500,01986  m a2200265   4500
2389,02053    a2200277   4500,02053  m a2200277   4500
2391,02243    a2200301   4500,02243  m a2200301   4500
2395,06175    a2200649   4500,06175  m a2200649   4500
2396,10296    a2200865   4500,10296  m a2200865   4500
2397,11227    a2201081   4500,11227  m a2201081   4500
2398,01684    a2200289   4500,01684  m a2200289   4500
2399,02412    a2200289   4500,02412  m a2200289   4500
2400,01466    a2200289   4500,01466  m a2200289   4500
2401,01535    a2200289   4500,01535  m a2200289   4500
2402,10797    a2200961   4500,10797  m a2200961   4500
2403,00549    a2200145   4500,00549  m a2200145   4500
2404,00884    a2200217   4500,00884  m a2200217   4500
2405,00978    a2200253   4500,00978  m a2200253   4500
2409,01177    a2200217   4500,01177  m a2200217   4500
2410,00853    a2200229   4500,00853  m a2200229   4500
2411,01553    a2200289   4500,01553  m a2200289   4500
2412,01192    a2200253   4500,01192  m a2200253   4500
2415,01046    a2200241   4500,01046  m a2200241   4500
2416,00617    a2200169   4500,00617  m a2200169   4500
2417,01249    a2200253   4500,01249  m a2200253   4500
2418,01256    a2200265   4500,01256  m a2200265   4500
2419,02441    a2200277   4500,02441  m a2200277   4500
2420,01499    a2200313   4500,01499  m a2200313   4500
2424,01156    a2200265   4500,01156  m a2200265   4500
2425,01889    a2200289   4500,01889  m a2200289   4500
2426,01327aca a2200265   4500,01327acm a2200265   4500
2427,01132    a2200265   4500,01132  m a2200265   4500
2428,02243    a2200301   4500,02243  m a2200301   4500
2429,01272    a2200265   4500,01272  m a2200265   4500
2430,01289    a2200277   4500,01289  m a2200277   4500
2432,01035    a2200253   4500,01035  m a2200253   4500
2433,05182    a2200901   4500,05182  m a2200901   4500
2449,01614    a2200325   4500,01614  m a2200325   4500
2450,01731    a2200313   4500,01731  m a2200313   4500
2452,01967    a2200397   4500,01967  m a2200397   4500
2455,03430    a2200385   4500,03430  m a2200385   4500
2457,01247    a2200253   4500,01247  m a2200253   4500
2458,05829    a2201033   4500,05829  m a2201033   4500
2461,02561    a2200325   4500,02561  m a2200325   4500
2463,04472    a2200673   4500,04472  m a2200673   4500
2464,02345aca a2200325   4500,02345acm a2200325   4500
2465,00730    a2200157   4500,00730  m a2200157   4500
2466,00681    a2200205   4500,00681  m a2200205   4500
2467,01377aca a2200289   4500,01377acm a2200289   4500
2468,01262    a2200265   4500,01262  m a2200265   4500
2469,00851    a2200181   4500,00851  m a2200181   4500
2470,01831aca a2200277   4500,01831acm a2200277   4500
2471,04325    a2200865   4500,04325  m a2200865   4500
2474,03665    a2200589   4500,03665  m a2200589   4500
2475,02222    a2200361   4500,02222  m a2200361   4500
2476,01442    a2200277   4500,01442  m a2200277   4500
2477,02057    a2200385   4500,02057  m a2200385   4500
2478,01391    a2200277   4500,01391  m a2200277   4500
2479,02619    a2200553   4500,02619  m a2200553   4500
2480,02117    a2200421   4500,02117  m a2200421   4500
2481,01673    a2200313   4500,01673  m a2200313   4500
2482,01416    a2200277   4500,01416  m a2200277   4500
2483,01410    a2200313   4500,01410  m a2200313   4500
2484,02602    a2200421   4500,02602  m a2200421   4500
2485,02059    a2200397   4500,02059  m a2200397   4500
2486,02638    a2200505   4500,02638  m a2200505   4500
2488,04515    a2200949   4500,04515  m a2200949   4500
2489,10136    a2201921   4500,10136  m a2201921   4500
2491,02745    a2200481   4500,02745  m a2200481   4500
2492,02566    a2200409   4500,02566  m a2200409   4500
2493,03141    a2200349   4500,03141  m a2200349   4500
2494,03207    a2200361   4500,03207  m a2200361   4500
2495,01368    a2200241   4500,01368  m a2200241   4500
2496,03366    a2200637   4500,03366  m a2200637   4500
2498,01475    a2200313   4500,01475  m a2200313   4500
2499,04508    a2200493   4500,04508  m a2200493   4500
2505,02889    a2200541   4500,02889  m a2200541   4500
2506,05927    a2200601   4500,05927  m a2200601   4500
2508,01891    a2200337   4500,01891  m a2200337   4500
2511,01359    a2200265   4500,01359  m a2200265   4500
2512,01245    a2200253   4500,01245  m a2200253   4500
2513,03354    a2200385   4500,03354  m a2200385   4500
2514,01146    a2200265   4500,01146  m a2200265   4500
2515,00625    a2200157   4500,00625  m a2200157   4500
2520,00955    a2200181   4500,00955  m a2200181   4500
2521,00923    a2200205   4500,00923  m a2200205   4500
2522,00996    a2200241   4500,00996  m a2200241   4500
2524,02142    a2200445   4500,02142  m a2200445   4500
2525,01721    a2200325   4500,01721  m a2200325   4500
2526,01635    a2200337   4500,01635  m a2200337   4500
2527,01723    a2200277   4500,01723  m a2200277   4500
2532,01496    a2200325   4500,01496  m a2200325   4500
2533,01223    a2200265   4500,01223  m a2200265   4500
2534,00955    a2200217   4500,00955  m a2200217   4500
2535,01410    a2200253   4500,01410  m a2200253   4500
2536,00697    a2200169   4500,00697  m a2200169   4500
2537,02583    a2200481   4500,02583  m a2200481   4500
2539,01571    a2200313   4500,01571  m a2200313   4500
2540,01009    a2200229   4500,01009  m a2200229   4500
2541,09790    a2201621   4500,09790  m a2201621   4500
2542,02961    a2200445   4500,02961  m a2200445   4500
2543,03084    a2200445   4500,03084  m a2200445   4500
2544,01884    a2200313   4500,01884  m a2200313   4500
2545,01428    a2200277   4500,01428  m a2200277   4500
2546,11583    a2200985   4500,11583  m a2200985   4500
2547,02236    a2200301   4500,02236  m a2200301   4500
2550,02255    a2200265   4500,02255  m a2200265   4500
2552,01802    a2200337   4500,01802  m a2200337   4500
2557,02410    a2200373   4500,02410  m a2200373   4500
2558,01336aab a2200277   4500,01336aam a2200277   4500
2560,02127    a2200397   4500,02127  m a2200397   4500
2562,02164    a2200445   4500,02164  m a2200445   4500
2563,01559    a2200253   4500,01559  m a2200253   4500
2564,01602    a2200253   4500,01602  m a2200253   4500
2565,01979    a2200361   4500,01979  m a2200361   4500
2568,01725    a2200325   4500,01725  m a2200325   4500
2574,02482    a2200505   4500,02482  m a2200505   4500
2578,02027    a2200325   4500,02027  m a2200325   4500
2580,04445    a2200853   4500,04445  m a2200853   4500
2583,01133aaa a2200229   4500,01133aam a2200229   4500
2585,13582aab a2202581   4500,13582aam a2202581   4500
2586,02824    a2200517   4500,02824  m a2200517   4500
2587,02151    a2200325   4500,02151  m a2200325   4500
2588,02899    a2200445   4500,02899  m a2200445   4500
2589,02259    a2200277   4500,02259  m a2200277   4500
2591,14324    a2202245   4500,14324  m a2202245   4500
2592,01954    a2200313   4500,01954  m a2200313   4500
2593,01810    a2200253   4500,01810  m a2200253   4500
2594,01956    a2200325   4500,01956  m a2200325   4500
2597,01117    a2200241   4500,01117  m a2200241   4500
2598,01281    a2200265   4500,01281  m a2200265   4500
2599,01133    a2200253   4500,01133  m a2200253   4500
2600,01085    a2200229   4500,01085  m a2200229   4500
2601,01223    a2200253   4500,01223  m a2200253   4500
2602,01396    a2200265   4500,01396  m a2200265   4500
2603,03450    a2200397   4500,03450  m a2200397   4500
2604,05742    a2200541   4500,05742  m a2200541   4500
2605,10385    a2200853   4500,10385  m a2200853   4500
2614,01339    a2200265   4500,01339  m a2200265   4500
2620,02308acb a2200409   4500,02308acm a2200409   4500
2621,01628acb a2200313   4500,01628acm a2200313   4500
2631,03489    a2200349   4500,03489  m a2200349   4500
2632,03857    a2200661   4500,03857  m a2200661   4500
2633,02783    a2200493   4500,02783  m a2200493   4500
2648,04444    a2200385   4500,04444  m a2200385   4500
2654,02477    a2200373   4500,02477  m a2200373   4500
2661,01451acb a2200265   4500,01451acm a2200265   4500
2662,01323acb a2200253   4500,01323acm a2200253   4500
2663,01623aca a2200325   4500,01623acm a2200325   4500
2664,01284acb a2200265   4500,01284acm a2200265   4500
2672,01565acb a2200253   4500,01565acm a2200253   4500
2675,01854    a2200349   4500,01854  m a2200349   4500
2678,02474    a2200373   4500,02474  m a2200373   4500
2679,04301    a2200637   4500,04301  m a2200637   4500
2682,02940    a2200577   4500,02940  m a2200577   4500
2718,02198acc a2200253   4500,02198acm a2200253   4500
2743,02433aaa a2200217   4500,02433aam a2200217   4500
2744,01614    a2200265   4500,01614  m a2200265   4500
2745,01488    a2200277   4500,01488  m a2200277   4500
2746,01821    a2200313   4500,01821  m a2200313   4500
2749,03246    a2200517   4500,03246  m a2200517   4500
2750,03471    a2200565   4500,03471  m a2200565   4500
2751,02582    a2200505   4500,02582  m a2200505   4500
2752,07659    a2200649   4500,07659  m a2200649   4500
2753,02665    a2200469   4500,02665  m a2200469   4500
2755,02857    a2200553   4500,02857  m a2200553   4500
2758,05498    a2200949   4500,05498  m a2200949   4500
2760,01818    a2200313   4500,01818  m a2200313   4500
2764,01525    a2200277   4500,01525  m a2200277   4500
2765,02749    a2200505   4500,02749  m a2200505   4500
2773,01365    a2200277   4500,01365  m a2200277   4500
2775,01594    a2200301   4500,01594  m a2200301   4500
2779,06429    a2200949   4500,06429  m a2200949   4500
2786,05440    a2200541   4500,05440  m a2200541   4500
2794,00719    a2200181   4500,00719  m a2200181   4500
2796,00711    a2200193   4500,00711  m a2200193   4500
2800,01091    a2200241   4500,01091  m a2200241   4500
2803,04173    a2200697   4500,04173  m a2200697   4500
