biblioitem,call_number
22017,
22018,
22019,
22020,
22021,
22022,
22024,
22025,
22026,
22027,
22028,
22031,
22032,
22033,
22034,
22035,
22310,LIT FRAN b
22444,BIO POUL b
22559,
22675,
22682,
22683,
22684,
22685,
22686,
22688,
22689,
22690,
22691,
22692,
22693,
22694,
22695,
22696,
22697,
22698,
22699,
22700,
22701,
22702,
22703,
22704,
22705,
22706,
22707,
22708,
22709,
22710,
22711,
22712,
22713,
22714,
22715,
22716,
22717,
22718,
22719,
22720,
22721,
22723,
22724,
22726,
22727,
22728,
22729,
22730,
22732,
22733,
22734,
22737,
22738,
22739,
22740,
22743,
22745,
22746,
22747,
22748,
22749,
22750,
22751,
22752,
22753,
22754,
22755,
22756,
22758,
22759,
22761,
22762,
22763,
22764,
22765,
22766,
22767,
22768,
22769,
22770,
22771,
22772,
22773,
22774,
22775,
22777,
22778,
22779,
22780,
22781,
22782,
22783,
22785,
22787,
22788,
22789,
22790,
22791,
22792,
22793,
22794,
22795,
22796,
22797,
22798,
22799,
22811,
22812,
22813,
22814,
22815,
22816,
22832,
22833,
23938,REF2 GREE
23939,AES COLL
23940,PHI LANT a
23941,PHI BRAND a
23942,PHI SUIT a
23943,AES LOCK
24117,
24118,
26,KTS1 C3.03 01A24
69,KTS1 C3.26 01B33
69,KTS1 C3.26 01B33
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
73,KTS1 C1.51 01C11
83,KTS1 C1.52 01D03_01
83,KTS1 C1.52 01D03_01
85,KTS1 C1.52 01D05
85,KTS1 C1.52 01D05
85,KTS1 C1.52 01D05
89,KTS1 C1.52 01D09
89,KTS1 C1.52 01D09
89,KTS1 C1.52 01D09
96,KTS1 C1.52 01D16
96,KTS1 C1.52 01D16
99,KTS1 C1.52 01D18
99,KTS1 C1.52 01D18
99,KTS1 C1.52 01D18
99,KTS1 C1.52 01D18
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
105,KTS1 C1.52 01D23
123,KTS1 C3.27 01E08_01
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
136,KTS1 C3.27 01E23
159,KTS1 C2.01 01F22
159,KTS1 C2.01 01F22
159,KTS1 C2.01 01F22
159,KTS1 C2.01 01F22
166,KTS1 C2.01 01G02_01
166,KTS1 C2.01 01G02_01
166,KTS1 C2.01 01G02_01
166,KTS1 C2.01 01G02_01
166,KTS1 C2.01 01G02_01
172,KTS1 C2.01 01G05
172,KTS1 C2.01 01G05
196,KTS1 C3.28 01H08
234,KTS1 C3.04 02A22
234,KTS1 C3.04 02A22
234,KTS1 C3.04 02A22
234,KTS1 C3.04 02A22
240,KTS1 C1.68 02B03_01-02
240,KTS1 C1.68 02B03_01-02
240,KTS1 C1.68 02B03_01-02
240,KTS1 C1.68 02B03_01-02
240,KTS1 C1.68 02B03_01-02
247,KTS1 C1.68 02B12
248,KTS1 C1.68 02B14
248,KTS1 C1.68 02B14
251,KTS1 C1.68 02B15
251,KTS1 C1.68 02B15
254,KTS1 C1.68 02B17
254,KTS1 C1.68 02B17
254,KTS1 C1.68 02B17
254,KTS1 C1.68 02B17
310,KTS1 C3.33 02E22l
312,KTS1 C1.69 02F02
312,KTS1 C1.69 02F02
312,KTS1 C1.69 02F02
312,KTS1 C1.69 02F02
312,KTS1 C1.69 02F02
312,KTS1 C1.69 02F02
318,KTS1 C1.69 02F09
318,KTS1 C1.69 02F09
318,KTS1 C1.69 02F09
318,KTS1 C1.69 02F09
325,KTS1 C1.69 02F11
325,KTS1 C1.69 02F11
327,KTS1 C1.69 02F12
328,KTS1 C1.69 02F13_04
328,KTS1 C1.69 02F13_04
331,KTS1 C1.69 02F15
365,KTS1 C2.30 02G33
392,KTS1 C1.65 03C01
392,KTS1 C1.65 03C01
392,KTS1 C1.65 03C01
398,KTS1 C1.65 03C11
398,KTS1 C1.65 03C11
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
402,KTS1 C1.66 03C21
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
414,KTS1 C1.66 03D09
434,KTS1 C1.43 03E01
435,KTS1 C1.43 03E10
435,KTS1 C1.43 03E10
435,KTS1 C1.43 03E10
435,KTS1 C1.43 03E10
435,KTS1 C1.43 03E10
435,KTS1 C1.43 03E10
441,KTS1 C1.43 03E27_01
442,KTS1 C1.67 03F01_01-03
442,KTS1 C1.67 03F01_01-03
442,KTS1 C1.67 03F01_01-03
442,KTS1 C1.67 03F01_01-03
446,KTS1 C1.67 03F05
446,KTS1 C1.67 03F05
446,KTS1 C1.67 03F05
449,KTS1 C1.67 03F11
449,KTS1 C1.67 03F11
452,KTS1 C1.67 03F15
454,KTS1 C1.67 03F17
454,KTS1 C1.67 03F17
454,KTS1 C1.67 03F17
454,KTS1 C1.67 03F17
464,KTS1 C1.44 03G06_01-02
465,KTS1 C1.44 03G07
468,KTS1 C1.44 03G10
468,KTS1 C1.44 03G10
476,KTS1 C1.44 03G16c
476,KTS1 C1.44 03G16c
481,KTS1 C1.07 05F14
482,KTS1 C1.44 03G22
482,KTS1 C1.44 03G22
482,KTS1 C1.44 03G22
482,KTS1 C1.44 03G22
488,KTS1 C1.53 03H01
488,KTS1 C1.53 03H01
488,KTS1 C1.53 03H01
488,KTS1 C1.53 03H01
493,KTS1 C1.53 03H06
495,KTS1 C1.53 03H08
497,KTS1 C1.53 03H10
499,KTS1 C1.53 03H12
501,KTS1 C1.53 03H14
502,KTS1 C1.53 03H15
503,KTS1 C1.53 03H16
504,KTS1 C1.53 03H17
506,KTS1 C1.53 03H19
507,KTS1 C1.53 03H20
508,KTS1 C1.53 03H21
509,KTS1 C1.53 03H22
510,KTS1 C1.53 03H23a-f
511,KTS1 C1.53 03H24
512,KTS1 C1.53 03H25
512,KTS1 C1.53 03H25
514,KTS1 C1.53 03H27
514,KTS1 C1.53 03H27
514,KTS1 C1.53 03H27
514,KTS1 C1.53 03H27
514,KTS1 C1.53 03H27
521,KTS1 C1.53 03H34
522,KTS1 C1.53 03H35
522,KTS1 C1.53 03H35
522,KTS1 C1.53 03H35
526,KTS1 C1.53 03H39
526,KTS1 C1.53 03H39
526,KTS1 C1.53 03H39
530,KTS1 C1.53 03H43
530,KTS1 C1.53 03H43
530,KTS1 C1.53 03H43
530,KTS1 C1.53 03H43
530,KTS1 C1.53 03H43
530,KTS1 C1.53 03H43
537,KTS1 C1.53 03H50
537,KTS1 C1.53 03H50
537,KTS1 C1.53 03H50
537,KTS1 C1.53 03H50
541,KTS1 C1.53 03H52c
541,KTS1 C1.53 03H52c
541,KTS1 C1.53 03H52c
541,KTS1 C1.53 03H52c
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
545,KTS1 C1.53 03H53_01
557,KTS1 C3.24 03I01
579,KTS1 C3.24 03I26
584,KTS1 C3.24 03I30b_01-02
611,KTS1 C3.25 03J14
623,KTS1 C3.25 03J24
687,KTS1 C1.55 04A01
687,KTS1 C1.55 04A01
687,KTS1 C1.55 04A01
687,KTS1 C1.55 04A01
687,KTS1 C1.55 04A01
687,KTS1 C1.55 04A01
687,KTS1 C1.55 04A01
687,KTS1 C1.55 04A01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
698,KTS1 C1.45 04B01
711,KTS1 C1.45 04B13a
711,KTS1 C1.45 04B13a
711,KTS1 C1.45 04B13a
711,KTS1 C1.45 04B13a
711,KTS1 C1.45 04B13a
716,KTS1 C1.45 04B27
716,KTS1 C1.45 04B27
716,KTS1 C1.45 04B27
716,KTS1 C1.45 04B27
716,KTS1 C1.45 04B27
721,KTS1 C1.46 04C01
721,KTS1 C1.46 04C01
721,KTS1 C1.46 04C01
725,KTS1 C1.46 04C06a
726,KTS1 C1.46 04C06b
726,KTS1 C1.46 04C06b
728,KTS1 C1.46 04C07
728,KTS1 C1.46 04C07
730,KTS1 C1.46 04C09
730,KTS1 C1.46 04C09
735,KTS1 C1.46 04C18
735,KTS1 C1.46 04C18
737,KTS1 C1.46 04C20
737,KTS1 C1.46 04C20
740,KTS1 C1.46 04C23
740,KTS1 C1.46 04C23
740,KTS1 C1.46 04C23
740,KTS1 C1.46 04C23
740,KTS1 C1.46 04C23
740,KTS1 C1.46 04C23
740,KTS1 C1.46 04C23
740,KTS1 C1.46 04C23
749,KTS1 C1.47 04D01_01
749,KTS1 C1.47 04D01_01
754,KTS1 C1.47 04D10a
754,KTS1 C1.47 04D10a
757,KTS1 C1.47 04D10e
760,KTS1 C1.47 04D22
761,KTS1 C1.47 04D23
761,KTS1 C1.47 04D23
761,KTS1 C1.47 04D23
761,KTS1 C1.47 04D23
761,KTS1 C1.47 04D23
761,KTS1 C1.47 04D23
767,KTS1 C1.47 04D29
767,KTS1 C1.47 04D29
772,KTS1 C1.48 04D34
772,KTS1 C1.48 04D34
772,KTS1 C1.48 04D34
776,KTS1 C1.48 04D38
776,KTS1 C1.48 04D38
778,KTS1 C1.48 04D40a
779,KTS1 C1.48 04D40b
779,KTS1 C1.48 04D40b
782,KTS1 C1.48 04E02
782,KTS1 C1.48 04E02
785,KTS1 C1.48 04E06_01
785,KTS1 C1.48 04E06_01
785,KTS1 C1.48 04E06_01
790,KTS1 C1.48 04E14
790,KTS1 C1.48 04E14
790,KTS1 C1.48 04E14
790,KTS1 C1.48 04E14
794,KTS1 C1.48 04E19
795,KTS1 C1.48 04E20
796,KTS1 C1.48 04E21
796,KTS1 C1.48 04E21
799,KTS1 C1.48 04E27
799,KTS1 C1.48 04E27
802,KTS1 C1.49 04F04
803,KTS1 C1.49 04F05
806,KTS1 C1.49 04F08_01
808,KTS1 C1.49 04F12b
808,KTS1 C1.49 04F12b
811,KTS1 C1.49 04F15
811,KTS1 C1.49 04F15
811,KTS1 C1.49 04F15
811,KTS1 C1.49 04F15
816,KTS1 C1.49 04F20
818,KTS1 C1.49 04F22
818,KTS1 C1.49 04F22
820,KTS1 C1.49 04F24
820,KTS1 C1.49 04F24
823,KTS1 C1.50 04F28
824,KTS1 C1.50 04G01
824,KTS1 C1.50 04G01
824,KTS1 C1.50 04G01
824,KTS1 C1.50 04G01
833,KTS1 C1.50 04G15
836,KTS1 C1.50 04G17
836,KTS1 C1.50 04G17
841,KTS1 C1.51 04G22
841,KTS1 C1.51 04G22
841,KTS1 C1.51 04G22
846,KTS1 C1.56 04H03
848,KTS1 C1.56 04H05
848,KTS1 C1.56 04H05
851,KTS1 C1.56 04H14
938,KTS1 C1.04 04K18
938,KTS1 C1.04 04K18
938,KTS1 C1.04 04K18
938,KTS1 C1.04 04K18
938,KTS1 C1.04 04K18
938,KTS1 C1.04 04K18
938,KTS1 C1.04 04K18
938,KTS1 C1.04 04K18
949,KTS1 C1.04 05A11
949,KTS1 C1.04 05A11
949,KTS1 C1.04 05A11
949,KTS1 C1.04 05A11
949,KTS1 C1.04 05A11
949,KTS1 C1.04 05A11
949,KTS1 C1.04 05A11
949,KTS1 C1.04 05A11
959,KTS1 C1.01 05B01
959,KTS1 C1.01 05B01
959,KTS1 C1.01 05B01
963,KTS1 C1.02 05B05
963,KTS1 C1.02 05B05
966,KTS1 C1.02 05B08
966,KTS1 C1.02 05B08
969,KTS1 C1.02 05B13b
973,KTS1 C1.02 05B13f
974,KTS1 C1.02 05B13g
974,KTS1 C1.02 05B13g
974,KTS1 C1.02 05B13g
974,KTS1 C1.02 05B13g
974,KTS1 C1.02 05B13g
974,KTS1 C1.02 05B13g
974,KTS1 C1.02 05B13g
974,KTS1 C1.02 05B13g
987,KTS1 C1.02 05B27
987,KTS1 C1.02 05B27
987,KTS1 C1.02 05B27
987,KTS1 C1.02 05B27
987,KTS1 C1.02 05B27
987,KTS1 C1.02 05B27
987,KTS1 C1.02 05B27
995,KTS1 C1.31 05C12
995,KTS1 C1.31 05C12
998,KTS1 C1.31 05C15
998,KTS1 C1.31 05C15
998,KTS1 C1.31 05C15
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1002,KTS1 C1.37 05C21
1012,KTS1 C1.05 05D06
1013,KTS1 C1.05 05D07
1013,KTS1 C1.05 05D07
1013,KTS1 C1.05 05D07
1013,KTS1 C1.05 05D07
1018,KTS1 C1.05 05D15
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1019,KTS1 C1.05 05D17
1028,KTS1 C1.06 05E05
1028,KTS1 C1.06 05E05
1032,KTS1 C1.06 05E09
1033,KTS1 C1.06 05E10
1035,KTS1 C1.06 05E12
1035,KTS1 C1.06 05E12
1037,KTS1 C1.06 05E15
1039,KTS1 C1.06 05E17
1040,KTS1 C1.06 05E18
1041,KTS1 C1.06 05E19
1041,KTS1 C1.06 05E19
1041,KTS1 C1.06 05E19
1045,KTS1 C1.07 05F01
1045,KTS1 C1.07 05F01
1047,KTS1 C1.07 05F03
1048,KTS1 C1.07 05F04
1049,KTS1 C1.07 05F05
1049,KTS1 C1.07 05F05
1051,KTS1 C1.07 05F07
1053,KTS1 C1.07 05F09
1056,KTS1 C1.07 05F12
1056,KTS1 C1.07 05F12
1061,KTS1 C1.07 05F17
1061,KTS1 C1.07 05F17
1064,KTS1 C1.07 05F20
1064,KTS1 C1.07 05F20
1064,KTS1 C1.07 05F20
1064,KTS1 C1.07 05F20
1064,KTS1 C1.07 05F20
1064,KTS1 C1.07 05F20
1071,KTS1 C1.07 05F28
1072,KTS1 C1.07 05F29
1072,KTS1 C1.07 05F29
1077,KTS1 C1.07 05F34
1077,KTS1 C1.07 05F34
1079,KTS1 C1.07 05F37
1079,KTS1 C1.07 05F37
1079,KTS1 C1.07 05F37
1084,KTS1 C1.07 05F43
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1086,KTS1 C1.07 05F45
1100,KTS1 C1.08 05G12
1100,KTS1 C1.08 05G12
1100,KTS1 C1.08 05G12
1100,KTS1 C1.08 05G12
1105,KTS1 C1.08 05G17
1105,KTS1 C1.08 05G17
1105,KTS1 C1.08 05G17
1108,KTS1 C1.09 05G23
1108,KTS1 C1.09 05G23
1113,KTS1 C1.09 05H02
1113,KTS1 C1.09 05H02
1113,KTS1 C1.09 05H02
1113,KTS1 C1.09 05H02
1117,KTS1 C1.09 05H06
1117,KTS1 C1.09 05H06
1117,KTS1 C1.09 05H06
1117,KTS1 C1.09 05H06
1117,KTS1 C1.09 05H06
1117,KTS1 C1.09 05H06
1117,KTS1 C1.09 05H06
1124,KTS1 C1.09 05H14
1125,KTS1 C1.09 05H16
1126,KTS1 C1.09 05H17
1126,KTS1 C1.09 05H17
1126,KTS1 C1.09 05H17
1126,KTS1 C1.09 05H17
1126,KTS1 C1.09 05H17
1131,KTS1 C1.09 05H22
1131,KTS1 C1.09 05H22
1134,KTS1 C1.10 05H26a
1134,KTS1 C1.10 05H26a
1134,KTS1 C1.10 05H26a
1134,KTS1 C1.10 05H26a
1140,KTS1 C1.10 05I02
1140,KTS1 C1.10 05I02
1143,KTS1 C1.10 05I05
1144,KTS1 C1.10 05I06
1144,KTS1 C1.10 05I06
1146,KTS1 C1.10 05I10
1148,KTS1 C1.10 05I14
1148,KTS1 C1.10 05I14
1150,KTS1 C1.62 05I16
1168,KTS1 C2.31 05J17
1176,KTS1 C2.31 05J26b
1187,KTS1 C1.29 05L01
1203,KTS1 C3.21 05L17
1207,KTS1 C3.21 05L21_01
1207,KTS1 C3.21 05L21_01
1253,KTS1 C1.61 06E01a
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1255,KTS1 C1.61 06E02
1269,KTS1 C1.61 06E12
1269,KTS1 C1.61 06E12
1269,KTS1 C1.61 06E12
1275,KTS1 C1.62 06F05
1276,KTS1 C1.62 06F06a
1276,KTS1 C1.62 06F06a
1276,KTS1 C1.62 06F06a
1335,KTS1 C1.03 05B35
1336,KTS1 C1.03 05B33
1338,KTS1 C1.03 05B38
1367,KTS1 C2.53 06N01
1370,KTS1 C2.53 06N04
1388,KTS1 C1.62 06P01
1388,KTS1 C1.62 06P01
1388,KTS1 C1.62 06P01
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1393,KTS1 C1.62 06P06
1410,KTS1 C1.32 07A10
1410,KTS1 C1.32 07A10
1410,KTS1 C1.32 07A10
1410,KTS1 C1.32 07A10
1414,KTS1 C1.32 07A14
1414,KTS1 C1.32 07A14
1422,KTS1 C1.32 07A18a
1422,KTS1 C1.32 07A18a
1422,KTS1 C1.32 07A18a
1422,KTS1 C1.32 07A18a
1422,KTS1 C1.32 07A18a
1422,KTS1 C1.32 07A18a
1430,KTS1 C1.32 07A25
1431,KTS1 C1.33 07A26
1431,KTS1 C1.33 07A26
1431,KTS1 C1.33 07A26
1431,KTS1 C1.33 07A26
1438,KTS1 C2.10 07B03
1442,KTS1 C2.10 07B07
1461,KTS1 C2.10 07B38
1484,KTS1 C2.11 07C20
1491,KTS1 C2.19 07C27
1492,KTS1 C2.11 07C28
1568,KTS1 C2.32 07D40
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1583,KTS1 C1.33 07E01
1599,KTS1 C1.33 07E12
1599,KTS1 C1.33 07E12
1599,KTS1 C1.33 07E12
1599,KTS1 C1.33 07E12
1604,KTS1 C1.33 07E17a
1604,KTS1 C1.33 07E17a
1606,KTS1 C1.33 07E19a-b
1606,KTS1 C1.33 07E19a-b
1606,KTS1 C1.33 07E19a-b
1606,KTS1 C1.33 07E19a-b
1606,KTS1 C1.33 07E19a-b
1606,KTS1 C1.33 07E19a-b
1606,KTS1 C1.33 07E19a-b
1618,KTS1 C1.33 07E27i
1618,KTS1 C1.33 07E27i
1618,KTS1 C1.33 07E27i
1618,KTS1 C1.33 07E27i
1618,KTS1 C1.33 07E27i
1618,KTS1 C1.33 07E27i
1618,KTS1 C1.33 07E27i
1629,KTS1 C1.33 07E34
1629,KTS1 C1.33 07E34
1629,KTS1 C1.33 07E34
1629,KTS1 C1.33 07E34
1629,KTS1 C1.33 07E34
1629,KTS1 C1.33 07E34
1636,KTS1 C2.34 07E41
1638,KTS1 C1.33 07E43
1638,KTS1 C1.33 07E43
1638,KTS1 C1.33 07E43
1638,KTS1 C1.33 07E43
1638,KTS1 C1.33 07E43
1638,KTS1 C1.33 07E43
1646,KTS1 C1.34 07E54
1646,KTS1 C1.34 07E54
1646,KTS1 C1.34 07E54
1646,KTS1 C1.34 07E54
1646,KTS1 C1.34 07E54
1646,KTS1 C1.34 07E54
1653,KTS1 C1.34 07E62
1655,KTS1 C1.34 07E64
1655,KTS1 C1.34 07E64
1658,KTS1 C1.34 07E67
1658,KTS1 C1.34 07E67
1658,KTS1 C1.34 07E67
1658,KTS1 C1.34 07E67
1670,KTS1 C1.34 07E71a
1670,KTS1 C1.34 07E71a
1722,KTS1 C2.33 07F44
1726,KTS1 C1.34 07G01_1
1728,KTS1 C1.34 07G03
1728,KTS1 C1.34 07G03
1728,KTS1 C1.34 07G03
1737,KTS1 C1.35 07H02
1737,KTS1 C1.35 07H02
1740,KTS1 C1.35 07H04
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1741,KTS1 C1.35 07H05
1756,KTS1 C1.39 07H14
1756,KTS1 C1.39 07H14
1756,KTS1 C1.39 07H14
1756,KTS1 C1.39 07H14
1761,KTS1 C1.39 07H19
1763,KTS1 C1.39 07H21
1763,KTS1 C1.39 07H21
1763,KTS1 C1.39 07H21
1763,KTS1 C1.39 07H21
1763,KTS1 C1.39 07H21
1763,KTS1 C1.39 07H21
1763,KTS1 C1.39 07H21
1763,KTS1 C1.39 07H21
1771,KTS1 C1.39 07H28
1773,KTS1 C3.01 08A02
1774,KTS1 C3.01 08A03
1804,KTS1 C3.02 08A33_01-02
1874,KTS1 C2.34 08C22m
1875,KTS1 C2.34 08C22n
1876,KTS1 C2.34 08C22h
1877,KTS1 C2.34 08C22j
1878,KTS1 C2.34 08C22i
1878,KTS1 C2.34 08C22i
1880,KTS1 C2.34 08C22o
1882,KTS1 C2.34 08C22l
1883,KTS1 C2.34 08C22k
1884,KTS1 C2.34 08C22e
1885,KTS1 C2.34 08C22p
1886,KTS1 C2.34 08C22g
1887,KTS1 C2.34 08C22f
1887,KTS1 C2.34 08C22f
1890,KTS1 C2.37 08C24
1954,KTS1 C3.23 08D31
1957,KTS1 C1.54 08E03
1957,KTS1 C1.54 08E03
1957,KTS1 C1.54 08E03
1960,KTS1 C1.54 08E06
1960,KTS1 C1.54 08E06
1960,KTS1 C1.54 08E06
1960,KTS1 C1.54 08E06
1960,KTS1 C1.54 08E06
1966,KTS1 C1.54 08E11
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1967,KTS1 C1.54 08E12
1978,KTS1 C1.61 08E19
1979,KTS1 C1.61 08E20
1979,KTS1 C1.61 08E20
1982,KTS1 C1.61 08E23
1983,KTS1 C1.61 08E24
1983,KTS1 C1.61 08E24
2112,KTS1 C3.08 08G56
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2248,KTS1 C3.11 08J50
2262,KTS1 C1.58 09A06a
2262,KTS1 C1.58 09A06a
2262,KTS1 C1.58 09A06a
2266,KTS1 C1.58 09A08
2266,KTS1 C1.58 09A08
2266,KTS1 C1.58 09A08
2266,KTS1 C1.58 09A08
2266,KTS1 C1.58 09A08
2266,KTS1 C1.58 09A08
2272,KTS1 C1.58 09A14
2272,KTS1 C1.58 09A14
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2275,KTS1 C1.58 09A17_01
2291,KTS1 C1.59 09A32
2291,KTS1 C1.59 09A32
2291,KTS1 C1.59 09A32
2291,KTS1 C1.59 09A32
2297,KTS1 C1.13 09B02
2297,KTS1 C1.13 09B02
2297,KTS1 C1.13 09B02
2301,KTS1 C1.13 09B05a-b
2301,KTS1 C1.13 09B05a-b
2301,KTS1 C1.13 09B05a-b
2301,KTS1 C1.13 09B05a-b
2301,KTS1 C1.13 09B05a-b
2301,KTS1 C1.13 09B05a-b
2308,KTS1 C1.13 09B12
2308,KTS1 C1.13 09B12
2308,KTS1 C1.13 09B12
2315,KTS1 C1.14 09B18
2315,KTS1 C1.14 09B18
2315,KTS1 C1.14 09B18
2318,KTS1 C1.14 09B21
2319,KTS1 C1.14 09B22
2319,KTS1 C1.14 09B22
2322,KTS1 C1.14 09B24
2325,KTS1 C1.14 09C01_01
2326,KTS1 C1.14 09C02_09
2327,KTS1 C1.14 09C03
2329,KTS1 C1.14 09C05_01
