biblioitem,title,call_number,barcode,source_of_acquisition
6722,De loop van een rivier,BIO TREG d,20127475,Koopman
6723,Franz Schubert als Theaterkomponist,BIO SCHU1 e,20121472,Koopman
6725,The Keyboard Music of John Bull,BIO BULL e,20122890,Koopman
6726,Sweelinck's Keyboard Music,BIO SWEE1 e,20120886,Koopman
6727,Unmeasured Preludes in French Baroque Instrumental Music,TOP FR 5,20127994,Koopman
6729,Francesca Caccini at the Medici Court:,BIO CACC d,20129336,Koopman
6730,The Emperor Maximilian I and music,BIO MAXI d,20121161,Koopman
6731,Gottfried Silbermann in Sachsen,INS3.1b SILB,20145764,Koopman
6733,Sagen en legenden,LIT DAAL a,20130283,Koopman
6734,Mythen en sagen uit het oude Europa.,LIT DAAL a,20122249,Koopman
6735,"Le Musée de la Comédie-Française, 1680-1905",TOP FR.PAR,20120120,Koopman
6736,Kritischer Bericht: Die Klavierbüchlein für Anna Magdalena Bach,SCO BACH1,20123492,Koopman
6737,Bemerkungen zur Handschrift Johann Sebastian Bachs seiner Familie und seines Kreises,BIO BACH1 e,20123048,Koopman
6738,Beiträge zur Chronologie der Werke Johann Sebastian Bachs,BIO BACH1 e,20123030,Koopman
6739,A Bibliography of English Corantos and Periodical Newsbooks 1620-1642,BIB4 GB 5,20122435,Koopman
6740,Historische Orgeln in Sachsen:,INS3.1e DE.SAX,20125948,Koopman
6741,Der Orgel- und Instrumentenbauer Zacharias Hildebrandt.,INS3.1b HILD,20123092,Koopman
6742,Die Orgeln Gottfried Silbermanns in Mitteldeutschland,INS3.1b SILB,20123070,Koopman
6743,"Tschudi, the Harpsichord Maker",INS3.2b TSCH,20128872,Koopman
6744,Interior Design Motifs of the 19. Century,VIS XL DALY,20128046,Koopman
6747,Der Musikbegriff im deutschen Barock,TOP DE 5,20125374,Koopman
6748,Romeinse Sagen en verhalen,LIT DAMS a,20130277,Koopman
6749,Beiträge zur Bachkritik I,BIO BACH1 e,20127702,Koopman
6751,Musikinstrumente:,INS1a AT,20123731,Koopman
6752,Die Musikalien der Grafen von Schönborn-Wiesentheid:,BIB4 DE.POM,20122561,Koopman
6752,Die Musikalien der Grafen von Schönborn-Wiesentheid:,BIB4 DE.POM,20122563,Koopman
6752,Die Musikalien der Grafen von Schönborn-Wiesentheid:,BIB4 DE.POM,20122562,Koopman
6753,The Sources of English Church Music 1549-1660,TOP GB 4,20128133,Koopman
6753,The Sources of English Church Music 1549-1660,TOP GB 4,20128132,Koopman
6755,Der Himmel lacht,BIO BACH1 e,20127662,Koopman
6756,Rime,LIT DANT a,20120317,Koopman
6757,Vita nuova = Das neue Leben,LIT DANT a,20120316,Koopman
6758,De goddelijke komedie,LIT DANT a,20120309,Koopman
6759,La commedia,LIT DANT a,20120308,Koopman
6760,La divina commedia,LIT DANT a,20127227,Koopman
6761,Tesoro de la Musica Polifoni Tomo II,SCO MISC RAMI,20124307,Koopman
6762,Le Grand Orgues de la Cathedrale Saint-Etienne de Toulouse,INS3.1E FR.TOU,20125791,Koopman
6763,Lord Herbert of Cherbury's Lute-Book,INS5.1d DART,20121463,Koopman
6764,The Interpretation of Music,MTP2 DART,20123287,Koopman
6766,Per gli occhi e 'l core,INS1a,20122780,Koopman
6767,Les troubadours,TOP FR 3,20122309,Koopman
6768,The Bach reader,BIO BACH1 b,20122973,Koopman
6769,The new Bach reader :,BIO BACH1 b,20122972,Koopman
6770,Johann Sebastian Bach's Orgeln,BIO BACH1 c,20123045,Koopman
6771,Een wonder weerspiegeld:,TOP NL 4,20122616,Koopman
6772,Sir John Sutton:,BIO SUTT d,20123064,Koopman
6776,Danskt Musiktryck intill 1700-talets mitt,BIB4 DK 5,20120569,Koopman
6777,Bibliographie der Musiktheoretischen Drucke des 16. Jahrhunderts,BIB3 DAVI,20120567,Koopman
6778,Matthias Weckmann:,BIO WECK e,20120589,Koopman
6778,Matthias Weckmann:,BIO WECK e,20120588,Koopman
6779,El Greco /,BIO GREC a,20128581,Koopman
6780,The Masonic Muse:,TOP NL 5,20122509,Koopman
6781,Guillaume-Gabriel Nivers :,BIO NIVE e,20120807,Koopman
6784,English Song-Books 1651-1702 :,BIB4 GB 5,20127130,Koopman
6786,A significant group of books by Hugo Grotius,BIO GROT c,20121989,Koopman
6787,ABC Antwerpse bibliofiele collecties :,BIB4 BE.ANT,20120904,Koopman
6788,The New Grove Händel,BIO HAND c,20121042,Koopman
6789,Händel and the Opera Seria,BIO HAND e,20122842,Koopman
6790,"Handel's Operas, 1704-1726",BIO HAND e,20122836,Koopman
6791,Handel's Dramatic Oratorios and Masques,BIO HAND e,20122835,Koopman
6792,Essays on Opera,GEN16,20127421,Koopman
6793,"Handel's Operas, 1726-1741",BIO HAND e,20127575,Koopman
6794,Het volksboek van Ulenspieghel,LIT ULEN b DEBA,20120224,Koopman
6795,Die musikalischen Werke von Claudio Merulo (1533-1604):,BIO MERU c,20122113,Koopman
6796,Jean-Philippe Rameau 1683-1983,BIO RAME b,20125509,Koopman
6797,Monsieur Croche: Antidilettante,TRE DEBU,20121072,Koopman
6798,Henry Du Mont (1610-1684),BIO MONT4 d,20121979,Koopman
6799,Instrumentale Sonderformen in Norddeutschland.,TOP DE 5,20129357,Koopman
6800,Kammermusik und Stylus phantasticus.,BIO BUXT e,20122608,Koopman
6801,The fortunes and misfortunes of the famous Moll Flanders /,LIT DEFO a,20120355,Koopman
6802,Restaureren en verzamelen van schilderijen en houtsnijwerk,VIS DEGE,20127313,Koopman
6803,Die Orgel.,INS3.1a,20120046,Koopman
6804,Bachstunden:,BIO BACH1 e,20120999,Koopman
6805,Joseph Balthasar Hochreither (1669-1731):,BIO HOCH d,20122142,Koopman
6807,Dirck van Babburen,BIO BABU d,20123789,Koopman
6809,De Vlaamsche kunst,TOP BE.FLA,20122580,Koopman
6810,Bibliopolis:,BIB4 NL,20123012,Koopman
6811,Organos históricos de Oaxaca.,INS3.1a MX.OXA,20121265,Koopman
6812,Los órganos históricos de la catedral de Mexico,INS3.1e MX.MEX,20122678,Koopman
6813,Brugge en de tapijtkunst,TOP BE.BRU2 0,20127043,Koopman
6815,Een hart voor boeken:,BIO RUBE e,20129384,Koopman
6816,Suam quisque bibliothecam:,BIB4 BE.LEU,20126824,Koopman
6817,La Civilisation de la Renaissance,HUM DELU,20120277,Koopman
6818,Johann George Tromlitz (1725-1805):,BIO TROM d,20120879,Koopman
6819,La France de la Renaissance 1488-1559,TOP FR 4,20120081,Koopman
6820,Treatise on Harpsichord Tuning by Jean Denis,INS3.2c DENI,20128903,Koopman
6821,De muziek in de schilderkunst,VIS DENI,20129404,Koopman
6822,Johann Friedrich Reichardt und seine Klavierwerke,BIO REIC2 e,20129153,Koopman
6823,Pelham Humfrey /,BIO HUMF c,20128506,Koopman
6824,Selected Essays,TRE DENT,20123336,Koopman
6825,Seducendo con l'arte,VIS DENT,20127674,Koopman
6826,Studien zum Frühwerk Johann Sebastian Bachs:,BIO BACH1 e,20120389,Koopman
6827,Het clavecimbel in de 20e eeuw,INS3.2a,20121981,Koopman
6829,Graf- en tempelschilderingen in Egypte,TOP EG,20120235,Koopman
6830,Musikgeschichte der Stadt Flensburg,TOP DE.FLE,20128080,Koopman
6834,De last van veel geluk:,TOP NL 4,20122685,Koopman
6836,Mozart.,BIO MOZA1 b,20121136,Koopman
6837,Handel,BIO HAND d,20126760,Koopman
6838,Music Publishers' Numbers: ,BIB3 DEUT,20127597,Koopman
6839,De Sint-Salvatorskatedraal te Brugge:,TOP BE.BRU2 0,20125043,Koopman
6840,De Sint-Salvatorskatedraal te Brugge:,TOP BE.BRU2 0,20125042,Koopman
6841,L'Édition musicale dans la presse parisienne au XVIIIe siècle :,BIB4 FR.PAR 5,20120671,Koopman
6842,Édition et commerce de la musique gravée à Paris dans la première moitié du 18e siècle :,BIB4 FR.PAR 5,20127881,Koopman
6844,De scheldkritieken /,LIT DEYS a,20120222,Koopman
6845,Hugo van der Goes,BIO VAND1 d,20122567,Koopman
6846,Nicolò Piccinni,BIO PICC d,20120614,Koopman
6847,Codex Caioni /,SCO MISC DIAM,20128011,Koopman
6847,Codex Caioni /,SCO MISC DIAM,20128012,Koopman
6847,Codex Caioni /,SCO MISC DIAM,20127988,Koopman
6850,"Keyboard Tablatures of the Mid-Seventeent Century in the Royal Library, Copenhagen.",INS3a DK.COP1,20127533,Koopman
6850,"Keyboard Tablatures of the Mid-Seventeent Century in the Royal Library, Copenhagen.",INS3a DK.COP1,20127532,Koopman
6852,"Diderot, D'Alembert. Une Suisse heureuse.",TOP CH 5,20120923,Koopman
6853,Das Theater des Herrn Diderot,LIT DIDE a,20122377,Koopman
6854,La Religieuse,LIT DIDE a,20122203,Koopman
6855,Œuvres,LIT DIDE a,20126602,Koopman
6856,Entretien entre d'Alembert et Diderot; Le Rêve de d'Alembert; Suite de l'entretien,LIT DIDE a,20122278,Koopman
6857,Les Bijoux indiscrets,LIT DIDE a,20122200,Koopman
6858,Paradoxe sur le comédien,LIT DIDE a,20122198,Koopman
6859,Jacques le fataliste et son maître,LIT DIDE a,20122197,Koopman
6860,Rabelais par lui-même,LIT RABE b DIEG,20126537,Koopman
6861,Brieven en documenten,BIO DIEP a,20125642,Koopman
6861,Brieven en documenten,BIO DIEP a,20125641,Koopman
6861,Brieven en documenten,BIO DIEP a,20125640,Koopman
6861,Brieven en documenten,BIO DIEP a,20125639,Koopman
6861,Brieven en documenten,BIO DIEP a,20125638,Koopman
6861,Brieven en documenten,BIO DIEP a,20125637,Koopman
6861,Brieven en documenten,BIO DIEP a,20125636,Koopman
6861,Brieven en documenten,BIO DIEP a,20125635,Koopman
6861,Brieven en documenten,BIO DIEP a,20125634,Koopman
6861,Brieven en documenten,BIO DIEP a,20125633,Koopman
6861,Brieven en documenten,BIO DIEP a,20125632,Koopman
6873,Art Nouveau in België.,TOP BE 6,20122572,Koopman
6874,Biographische Nachrichten von Joseph Haydn,BIO HAYD1 b,20125892,Koopman
6875,Carlo Gozzi:,BIO GOZZ d,20121170,Koopman
6876,Op zoek naar Jheronimus van Aken alias Bosch.,BIO BOSC d,20123556,Koopman
6878,"De Bossche Loterij, 1562-1564",TOP NL.HER 4,20122936,Koopman
6879,Genealogie Van Dijck - Van Dijk 1500-2000,BIO DIJC d,20120261,Koopman
6880,Het klavecimbel in de Nederlandse kunst tot 1800.,INS3.2d DIJC,20125535,Koopman
6882,Orgels in de Elzas,INS3.1a FR.ALS,20128693,Koopman
6885,Een magtig Toonwerk:,INS3.1e NL.BER,20126634,Koopman
6886,Orgels in de Elzas.,INS3.1a FR.ALS,20126615,Koopman
6887,"Utrecht, orgelstad. ",INS3.1a NL.UTR,20127289,Koopman
6888,Historische orgels in Noord-Italië:,INS3.1a IT,20126951,Koopman
6889,Alkmaars kleyne orgel: het koororgel van de St. Laurenskerk te Alkmaar,INS3.1e NL.ALK,20129092,Koopman
6890,100 jaar Flentrop Orgelbouw. 1903-2003.,INS3.1b FLEN,20121233,Koopman
6892,De schilderijen van Museum Catharijneconvent,VIS DIJK,20121251,Koopman
6893,Het orgel in de Wilhelminakerk te Dordrecht: een drieluik,INS3.1e NL.DOR,20126613,Koopman
6894,La collezione di stampe antiche:,VIS DILL,20123011,Koopman
6895,Rondom een Kerkorgel.,INS3.1e NL.DEN,20126599,Koopman
6896,Kunst uit Oud-Katholieke Kerken,TOP NL,20127040,Koopman
6897,"Begijnen, pastoors en predikanten:",TOP NL 5,20122172,Koopman
6898,The Keyboard Music of Jan Pieterszoon Sweelinck:,BIO SWEE1 e,20128198,Koopman
6899,Studien zur Kunst der Fuge von Johann Sebastian Bach :,BIO BACH1 e,20123574,Koopman
6900,Sweelinck Studies.,BIO SWEE1 e,20123399,Koopman
6901,Heinrich Scheidemann's Keyboard Music :,BIO SCHE1 e,20120782,Koopman
6902,La musica nei quadri antichi,VIS DISE,20127780,Koopman
6903,Die beiden Orgeln in St. Jakobi zu Lübeck,INS3.1e DE.LUB,20123744,Koopman
6909,"Briefe, ausgewählte Urkunden und Akten",BIO DITT a,20122312,Koopman
6911,Lebensbeschreibung seinem Sohne in die Feder diktiert,BIO DITT a,20122827,Koopman
6912,Het Huis van Oranje:,BIO ORAN d,20127041,Koopman
6913,De musica et cantu:,REF4 HUCK,20120951,Koopman
6914,40 Jahre Orgelbau Jürgen Ahrend 1954-1994. Festschrift,INS3.1b AHRE,20127451,Koopman
6915,Für Aug' und Ohr:,VIS SEIP,20128579,Koopman
6917,Musica e immagine :,VIS BRUM,20120523,Koopman
6918,"Das Musikalische Kunstwerk :Geschichte, Ästhetik, Theorie. Festschrift Carl Dahlhaus zum 60. Geburtstag",REF4 DAHL,20120469,Koopman
6920,Colloquium. Ruckers klavecimbels en copieën: universele instrumenten voor de interpretatie van de muziek uit Rubens tijd,INS3.2b RUCK,20128398,Koopman
6923,Musica barroca española,SCO MISC QUER,20121707,Koopman
6924,Werken voor sopraan-blokfluit,SCO MISC RASC,20121705,Koopman
6925,Werken voor sopraan-blokfluit en,SCO MISC RASC,20121701,Koopman
6926,Music of the polish renaissance,SCO MISC CHOM,20121679,Koopman
6927,Musica polyphonica bohemiae,SCO MISC SNIZ,20121650,Koopman
6928,L'amorosa ero (Brescia 1588),SCO MISC LINC,20121636,Koopman
6929,Antalogia de polifonia portuguesa,SCO MISC STEV3,20124088,Koopman
6930,English Songs 1625-1660,SCO MISC SPIN,20121626,Koopman
6931,The Symphony at Mannheim,SCO MISC WOLF5,20124025,Koopman
6932,The Symphony and Overture in Great Britain,SCO MISC PLAT,20124024,Koopman
6937,Oratorios of the Italian Baroque,SCO MISC SMIT,20121760,Koopman
6945,Die Orchesterserenade,SCO MISC HAUS,20121773,Koopman
6946,"Die Oper I, Änfange bis 17. Jahrhundert",SCO MISC WOLF6,20121772,Koopman
6947,"Die Oper II, 18. Jahrhundert",SCO MISC WOLF6,20121771,Koopman
6948,"Die Oper III, 19. Jahrhundert",SCO MISC WOLF6,20121770,Koopman
6949,Originale Gesangsimprovisationen des 16. bis 18. Jahrhunderts,SCO MISC WOLF6,20121769,Koopman
6952,Tesoro de la Musica Polifoni Tomo III,SCO MISC TELL,20124306,Koopman
6953,De Leidse Koorboeken Codex A Tomus I,SCO MISC KEMP,20121843,Koopman
6954,De Leidse Koorboeken Codex A Tomus II,SCO MISC KEMP,20121849,Koopman
6955,I vespri nel XVIII secolo,SCO MISC LION,20121915,Koopman
6956,La Cappella regia di Torino nel secolo XVIII /,SCO MISC BALE,20121914,Koopman
6957,Canciones a solo y duos del siglo XVII /,BIO MISC QUER,20121899,Koopman
6958,Teatro musical de Calderón /,SCO MISC QUER,20121898,Koopman
6959,"Historical Anthology of Music: Oriental, Medieval and Renaissance Music",SCO MISC DAVI,20121886,Koopman
6963,Carissimi,BIO CARI d,20122871,Koopman
6964,Liturgical Music in Rome 1605-45,TOP IT.ROM 5,20127511,Koopman
6964,Liturgical Music in Rome 1605-45,TOP IT.ROM 5,20127510,Koopman
6966,Zur Renaissance Alter Musik.,MTP2 DOBE,20126473,Koopman
6967,Barocke Zauberbühne:,TOP DE.GOT1 5,20127216,Koopman
6968,Clavicórdios portugueses do século dezoito,INS3.2a PT,20128414,Koopman
6969,Orgelmusik und Orgelbau im Portugal des 17. Jahrhunderts.,INS3.1a PT,20128696,Koopman
6970,"Cordofones de tecla portugueses do século VXIII: clavicordios, cravos, pianofortes e espinetas",INS3a PT,20127336,Koopman
6971,Daar moet veel strijds gestreden,BIO CAMP d,20123616,Koopman
6972,Johann Christian Heinrich Rinck:,BIO RINC d,20126732,Koopman
6973,Honderd jaar muziekleven in Nederland:,TOP NL 6,20128867,Koopman
6974,Tactus and Tempo in Organ Music from the German Baroque.,INS 3.1d DE,20127003,Koopman
6975,De hanze:,HUM DOLL,20130271,Koopman
6976,Christoph Nichelmann (1717-1762).,BIO NICH d,20125080,Koopman
6978,The Interpretation of the Music of the XVIIth and XVIIIth Centuries Revealed by Contemporary Evidence,TRE DOLM,20123289,Koopman
6978,The Interpretation of the Music of the XVIIth and XVIIIth Centuries Revealed by Contemporary Evidence,TRE DOLM,20123288,Koopman
6981,Dances of Spain and Italy from 1400 to 1600,TOP ES 4,20126736,Koopman
6982,Dances of England and France from 1450 to 1600:,GEN17,20126852,Koopman
6984,The Viola da Gamba:,INS4.5a DOLM,20125418,Koopman
6986,"The Doll's House, Centraal Museum",VIS DOMM,20120824,Koopman
6988,The Paintings of Jacob Ochterveld,BIO OCHT d,20125185,Koopman
6989,Arte nell'Aretino. Seconda mostra di restauri dal 1975 al 1979,INS3.1a IT.ARE,20129174,Koopman
6990,Monumentale orgels van Luthers Amsterdam,INS3.1a NL.AMS,20123623,Koopman
6992,A Performer's Guide to Baroque Music,MTP2 DONI1,20123313,Koopman
6993,The Interpretation of Early Music,MTP2 DONI1,20123301,Koopman
6994,Tempo and Rhythm in Bach's Organ,BIO BACH1 e,20123693,Koopman
6995,The complete poetry and selected prose of John Donne & the complete poetry of William Blake,LIT DONN a,20129192,Koopman
6996,The Complete English Poems,LIT DONN a,20130261,Koopman
6997,John Donne:,LIT DONN a,20120354,Koopman
7000,300 Jahre Orgelbau im Wuppertal,INS 3.1 a DE.WUP,20120028,Koopman
7001,Quellenstudien zur Musik:,REF4 SCHM,20123348,Koopman
7003,"Orgels, Organisten en Kosters van de Grote-of Martinikerk te Bolsward",INS3.1a NL.BOL,20122726,Koopman
7004,Alb. Anthoni Hinsz orgelmaker 1704-1785,INS3.1b HINS,20122952,Koopman
7005,Johann Christoph Gottsched in Leipzig :,BIO GOTT e,20125893,Koopman
7006,Franz Joseph Aumann (1728-1797) :,BIO AUMA c,20122171,Koopman
7008,Die kirchenmusikalischen Werke Johann Valentin Rathgebers,BIO RATH e,20120441,Koopman
7010,The Language of the Classical French Organ. ,INS3.1 a FR,20128817,Koopman
7011,Grimm et la musique d'après la co,BIO GRIM e,20125495,Koopman
7012,The Printing of John Dowland's Second Book of Ayres,BIO DOWL a,20128209,Koopman
7013,Perspectives in Brass Scholarship. ,INS7d CART,20123617,Koopman
7015,Mittelalterliche Glasmalerei in Erfurt,TOP DE.ERF 3,20125210,Koopman
7016,Prinzip einer Systematik der Musikinstrumente,INS1a,20128895,Koopman
7018,Orgelmethoden in heden en verleden,INS3.1d,20123638,Koopman
7020,Johann Christian Kittel,BIO KITT d,20125098,Koopman
7021,Pompöser Leichenzug zur schlichten Grabstätte:,TOP DE.HAM 5,20121036,Koopman
7022,Algemeene muziekleer,REF1,20128642,Koopman
7023,Bach's Continuo Group:,BIO BACH1 e,20120989,Koopman
7025,Francis Bacon,PHI BACO b BOWE,20120345,Koopman
7026,Bach's Use of Slurs in Recitativo,BIO BACH1 e,20123689,Koopman
7027,Zelfverzonnen woorden,LIT DROM a,20120361,Koopman
7029,Handwerk im Dienste der Musik:,INS1a DE.BER,20126585,Koopman
7030,The German Concerto:,TOP DE 5,20123428,Koopman
7033,"Madame de Sévigné, ou, La chance d'être femme /",BIO SEVI d,20126679,Koopman
7035,Music Reference and Research Materials.,BIB3 DUCK,20123217,Koopman
7036,Lost Books of Medieval China,BIB1 DUDB,20120192,Koopman
7037,Orchestration in the Musique d'harmonie of the French Revolution.,MTP2 DUDL,20120822,Koopman
7038,How Equal Temperament Ruined Harmony (and Why You Should Care) ,MTP1 DUFF,20122542,Koopman
7039,Jean-Baptiste de Boesset,BIO BOES d,20125618,Koopman
7040,La Musique d'orgue Française.,INS3.1 a FR,20128718,Koopman
7041,Jean de Joyeuse. Et la pénétration de la facture d'orgue parisienne dans le Midi de la France au XVIIme siècle,INS3.1b JOYE,20128735,Koopman
7042,Le Livre de l'orgue français 1589-1789,INS3.1a FR,20128815,Koopman
7043,Le Livre de l'orgue français 1589-1789,INS3.1a FR,20128814,Koopman
7044,Documents inédits relatifs a l'orgue français.,INS3.1a FR,20123413,Koopman
7044,Documents inédits relatifs a l'orgue français.,INS3.1a FR,20123412,Koopman
7046,"Nicolas Lebègue (1631-1702), orga",BIO LEBE d,20123087,Koopman
7047,Le clavecin,INS3.2a,20120024,Koopman
7048,La musique réligieuse en France au XVIIe siecle,TOP FR 5,20123708,Koopman
7049,"Het leven van Philopater ; en, Vervolg van 't leven van Philopater :",LIT DUIJ a,20121179,Koopman
7050,Reis in drukken.,BIB1 DUIJ,20120935,Koopman
7051,Karel ende Elegast:,LIT ELEG a,20128025,Koopman
7052,Excerpts from Eternity:,BIO BACH1 e,20123762,Koopman
7053,Das Dresdner Residenzschloss,TOP DE.DRES 4,20120436,Koopman
7054,H. Dullaerts Gedichten,BIO DULL a,20122018,Koopman
7055,De muziekuitgever Gerhard Frederik Witvogel:,BIO WITV d,20128247,Koopman
7056,Joseph Schmitt.,BIO SCHM2 d,20125746,Koopman
7057,Pietro Antonio Locatelli:,BIO LOCA d,20123084,Koopman
7057,Pietro Antonio Locatelli:,BIO LOCA d,20123083,Koopman
7059,Carel Fabritius 1622-1654,BIO FABR d,20122750,Koopman
7060,"Erinnerungen, Marcel Dupré racont",BIO DUPR a,20123118,Koopman
7064,Girolamo Frescobaldi nel IV centenario della nascita:,BIO FRES e,20123102,Koopman
7066,Schriften und Briefe,BIO DÜRE a,20120303,Koopman
7067,Tagebuch der Reise in die Niederlände,BIO DÜRE a,20120302,Koopman
7068,Dix années à la chapelle royale de musique d'après une correspondance inédite (1718-1728),TOP FR.VER 5,20127960,Koopman
7069,L'Air de cour en France 1571-1655,TOP FR 4,20128361,Koopman
7070,Zur Chronologie der Leipziger Vokalwerke J. S. Bachs,BIO BACH1 c,20125592,Koopman
7071,Studien über die frühen Kantaten,BIO BACH1 e,20128965,Koopman
7072,Johann Sebastian Bach,BIO BACH1 e,20125906,Koopman
7073,Zur Frühgeschichte des Wohltemper,BIO BACH1 e,20129282,Koopman
7074,Kritischer Bericht: Adventskantaten,SCO BACH1,20123548,Koopman
7075,Kritischer Bericht: Kantaten zum 2. und 3. Ostertag,SCO BACH1,20123540,Koopman
7076,Kritischer Bericht: Kantaten zum Sonntag Cantate bis zum Sonntag Exaudi,SCO BACH1,20123537,Koopman
7077,Kritischer Bericht: Kantaten zum 2. und 3. Pfingsttag,SCO BACH1,20123534,Koopman
7078,Kritischer Bericht: Kantaten zum Trinitatisfest und zum 1. Sonntag nach Trinitatis,SCO BACH1,20123533,Koopman
7079,Kritischer Bericht: Kantaten zum 7. und 8. Sonntag nach Trinitatis,SCO BACH1,20123529,Koopman
7081,Kritischer Bericht: Kantaten zum 24. bis 27. Sonntag nach Trinitatis,SCO BACH1,20123520,Koopman
7082,"Kritischer Bericht: Festmusiken für die Fürstenhäuser vond Weimar, Weissenfels und Köthen",SCO BACH1,20123510,Koopman
7083,Kritischer Bericht: Kantaten zum 1. Ostertag,SCO BACH1,20123541,Koopman
7084,Kritischer Bericht: Magnificat,SCO BACH1,20123503,Koopman
7085,Kritischer Bericht: Das Wohltemperierte Klavier II fünf Praeludien und Fughetten,SCO BACH1,20123490,Koopman
7086,Die Kantaten von Johann Sebastian Bach mit ihren Texten,BIO BACH1 e,20121059,Koopman
7087,Die Kantaten von Johann Sebastian Bach,BIO BACH1 e,20121060,Koopman
7087,Die Kantaten von Johann Sebastian Bach,BIO BACH1 e,20121058,Koopman
7089,Die Johannes-Passion von Johann Sebastian Bach :,BIO BACH1 e,20121054,Koopman
7090,Im Mittelpunkt Bach :,BIO BACH1 e,20123049,Koopman
7091,Bachs Werk vom Einfall bis zur Drucklegung:,BIO BACH1 e,20127696,Koopman
7092,Franz Xaver Süßmayr,BIO SUSS e,20123752,Koopman
7095,Kupecky,BIO KUPE c,20121127,Koopman
7097,English Medieval Tiles,TOP GB 3,20125063,Koopman
7098,The miniature house /,VIS EATO,20125415,Koopman
7099,Die Sing-Akademie zu Berlin und ihre Direktoren,TOP DE.BER 5,20121480,Koopman
7099,Die Sing-Akademie zu Berlin und ihre Direktoren,TOP DE.BER 5,20120828,Koopman
7100,"Utrecht, Caravaggio en Europa",TOP NL.UTR 5,20121523,Koopman
7101,Kriegsverluste der Dresdener Gemä,VIS EBER,20125570,Koopman
7102,Sint-Nicolaas,BIO NICO d,20122737,Koopman
7103,Adema 150 jaar orgelbouw,INS3.1b ADEM,20129287,Koopman
7104,Drie orgels voor de Rooms-katholieke kerken in de stad Groningen rond 1900,INS3.1a NL.GRO,20121360,Koopman
7105,Der Meister von Flémalle und Rogi,BIO FLEM c,20121017,Koopman
7106,Actes d'état civil de musiciens insinués au Châtelet de Paris (1539-1650),TOP FR.PAR 4,20122341,Koopman
7107,The Rost Manuscript of Seventeenth-Century Chamber Music :,BIB4 FR.PAR ROST,20128160,Koopman
7108,Johann Nikolaus Forkel:,BIO FORK d,20123600,Koopman
7109,Der nordelbische Organist,INS 3.1 a DE,20127875,Koopman
7110,Johann Joseph Fux und seine Zeit:,BIO FUX e,20122445,Koopman
7111,Arp Schnitger en zijn werk. ,INS3.1b SCHN,20122103,Koopman
7112,De nagelaten geschriften van de orgelmaker Arp Schnitger (1648-1719),INS3.1b SCHN,20125757,Koopman
7113,Roskilde Domkirkes Orgel.,INS3.1e DK.ROS,20129010,Koopman
7114,Roskilde Domkirkes Orgel,INS3.1e DK.ROS,20126636,Koopman
7115,Arp Schnitger and his work.,INS3.1b SCHN,20123779,Koopman
7116,Publication in Honor of Cornelius H. Edskes. Über die Stimmtonhöhe und Temperatur der Arp Schnitger-Orgel von St. Jacobi in Hamburg,INS3.1e DE.HAM,20123795,Koopman
7117,Het Hoofdorgel van de Nieuwe Kerk,INS3.1e NL.AMS,20123793,Koopman
7118,"The Consort Music of William Lawes, 1602-1645",BIO LAWE e,20120082,Koopman
7119,Het Trippenhuis te Amsterdam,TOP NL.AMS 5,20121446,Koopman
7120,De Amsterdamse boekhandel 1680-1725,BIB4 NL.AMS 5,20121199,Koopman
7120,De Amsterdamse boekhandel 1680-1725,BIB4 NL.AMS 5,20121198,Koopman
7120,De Amsterdamse boekhandel 1680-1725,BIB4 NL.AMS 5,20121197,Koopman
7120,De Amsterdamse boekhandel 1680-1725,BIB4 NL.AMS 5,20121196,Koopman
7120,De Amsterdamse boekhandel 1680-1725,BIB4 NL.AMS 5,20121195,Koopman
7120,De Amsterdamse boekhandel 1680-1725,BIB4 NL.AMS 5,20121194,Koopman
7126,De gilden:,HUM EEGH,20127316,Koopman
7127,  Aantekening van zommige Vernieuwde en Verbeterde Dispositiën in Kerkorgelen als news Dispositiën van enige Kerk-Kabinet en Bureau orgels en eindlijk Verscheide Schetsen tot zodanige Kerk en Kabinet Orgels van onderscheide grooten,INS3.1e NL.DOR,20128745,Koopman
7129,'K wou zo graag verstandig wezen,LIT EFFE a,20122220,Koopman
7130,In het land van de Bijbel:,BIO EGER a,20126592,Koopman
7131,Orgelwissenschaft und Orgelpraxis.,INS3.1d,20129009,Koopman
7132,Friedrich Rochlitz als Musikschriftsteller,BIO ROCH d,20129197,Koopman
7133,",,Concertisten“ und ,,Ripienisten“ in der H-Moll-Messe J.S. Bachs",BIO BACH1 e,20123389,Koopman
7134,Voce et tuba: Gesammelte Reden und Aufsätze 1934-1974,TRE EHMA,20123352,Koopman
7136,"""Vanitatis fuga, æternitatis amor"":",REF4 WITZ,20129462,Koopman
7137,Georg Friedrich Händel in Rom:,BIO HAND e,20129468,Koopman
7138,Migration und Identität:,GHM0,20129469,Koopman
7139,Wolfgang Amadeus Mozart.,BIO MOZA1 d,20121141,Koopman
7140,Mozart,BIO MOZA1 b,20121135,Koopman
7141,Gabrieli Tedesco,BIO GABR1 e,20120586,Koopman
7142,Johann Rosenmüller :,BIO ROSE e,20127688,Koopman
7143,Frischer Wind.,INS3.1a CH.BER,20121354,Koopman
7145,Essays on music,TRE EINS,20125359,Koopman
7146,Zur deutschen Literatur für Viola da Gamba im 16. und 17. Jahrhundert,INS4.5d EINS,20128225,Koopman
